k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
9,-43.2174,-90.9583,4.52352,0.00864388,-2.98678,-6.61206,0.638506,0.800091,7.60263,43.9048,-37.765,125.575,7.60263
10,-48.3905,-143.353,46.5717,0.00862001,-3.41219,-10.1893,3.36493,0.800101,7.60246,41.7538,-237.713,321.221,7.60246
11,-49.8856,-211.814,112.043,0.00878538,-3.59961,-14.6444,7.44519,0.800053,7.6028,32.1603,-608.234,672.555,7.6028
12,-49.8671,-294.361,194.626,0.00861355,-3.69496,-19.9335,12.5436,0.800104,7.60309,25.1383,-1123.76,1174.04,7.60309
13,-49.1743,-388.923,290.575,0.00864446,-3.7498,-26.0229,18.5233,0.800086,7.60268,20.2898,-1765.65,1806.23,7.60268
14,-48.1482,-492.828,396.532,0.0087752,-3.78388,-32.8459,25.2782,0.800129,7.60303,16.6755,-2496.78,2530.13,7.60303
15,-46.9456,-605.747,511.856,0.00873535,-3.80589,-40.474,32.8622,0.800174,7.60363,13.7915,-3343.99,3371.57,7.60363
k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
1,0.0117564,-0.0183338,0.0418466,0.0086291,0.507878,0.484364,0.531391,0.800111,7.6029,7.06639,6.86759,7.2652,7.6029
2,-0.24004,-0.323441,-0.15664,0.00866592,0.430996,0.39009,0.471901,0.800117,7.60287,5.94362,5.53168,6.35557,7.60287
3,-0.791232,-1.05946,-0.523007,0.00873603,0.354431,0.286884,0.421978,0.800193,7.60345,5.92311,5.28325,6.56297,7.60345
4,-1.76378,-2.45107,-1.07649,0.00859086,0.252452,0.140206,0.364698,0.800065,7.60175,6.28922,5.31345,7.26499,7.60175
5,-3.51971,-5.16007,-1.87935,0.00868931,0.0913131,-0.10864,0.291266,0.800183,7.60317,7.14551,5.46192,8.82909,7.60317
6,-7.0745,-10.834,-3.31504,0.00865086,-0.209572,-0.588708,0.169564,0.800089,7.60225,8.99892,6.04231,11.9555,7.60225
7,-15.3094,-23.9884,-6.63035,0.00872095,-0.865052,-1.63564,-0.0944628,0.800114,7.60388,13.4926,7.84524,19.1399,7.60388
8,-30.9644,-52.2347,-9.69406,0.00876321,-2.05823,-3.78078,-0.335673,0.800106,7.60273,25.6028,8.39526,42.8103,7.60273
9,-43.2207,-90.9673,4.52599,0.00864325,-2.98701,-6.61264,0.638614,0.800088,7.60247,43.908,-37.7896,125.606,7.60247
10,-48.3922,-143.362,46.5776,0.00877732,-3.41232,-10.1898,3.36516,0.800162,7.60392,41.7506,-237.773,321.274,7.60392
11,-49.8862,-211.821,112.049,0.00859545,-3.59966,-14.6446,7.4453,0.800171,7.60349,32.1567,-608.308,672.622,7.60349
12,-49.8674,-294.362,194.628,0.00868836,-3.695,-19.9333,12.5433,0.800182,7.60305,25.136,-1123.81,1174.08,7.60305
13,-49.1748,-388.918,290.568,0.00866726,-3.74985,-26.0222,18.5225,0.800185,7.60307,20.2881,-1765.66,1806.24,7.60307
14,-48.1483,-492.817,396.52,0.00864362,-3.7839,-32.8447,25.2769,0.80014,7.60313,16.6733,-2496.75,2530.1,7.60313
15,-46.9456,-605.725,511.834,0.00866653,-3.80591,-40.472,32.8602,0.800106,7.60276,13.7903,-3343.87,3371.45,7.60276
k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
1,0.0117571,-0.0183331,0.0418473,0.00868349,0.507438,0.483925,0.530952,0.800182,7.60406,7.06638,6.86758,7.26518,7.60406
2,-0.239831,-0.323265,-0.156397,0.00876568,0.430658,0.38975,0.471566,0.800081,7.60179,5.94183,5.52988,6.35378,7.60179
3,-0.790911,-1.05925,-0.522574,0.00863517,0.354126,0.286572,0.42168,0.800235,7.60512,5.92196,5.28207,6.56185,7.60512
4,-1.7621,-2.44967,-1.07453,0.00878419,0.252299,0.140034,0.364565,0.800184,7.60343,6.28842,5.31255,7.2643,7.60343
5,-3.51948,-5.16032,-1.87864,0.00870193,0.0910415,-0.108948,0.291031,0.800178,7.60424,7.14385,5.45993,8.82777,7.60424
6,-7.07161,-10.8326,-3.31065,0.00876787,-0.209605,-0.588851,0.169641,0.800084,7.60316,8.99924,6.04185,11.9566,7.60316
7,-15.3031,-23.9843,-6.62194,0.0086338,-0.864808,-1.63556,-0.0940599,0.800117,7.60367,13.4899,7.84107,19.1388,7.60367
8,-30.955,-52.2298,-9.68026,0.00870084,-2.05772,-3.78059,-0.334848,0.800068,7.60342,25.5951,8.38623,42.8039,7.60342
