k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
4304,0.00477335,0.00380495,0.00574174,0.00500505,-5.55394,-7.70674,-3.40113,0.484455,3.61801,445.192,-1.644e+07,1.64409e+07,3.61801
4305,0.00510856,0.00414017,0.00607696,0.00541622,-5.55395,-7.70725,-3.40065,0.484297,3.61831,461.17,-1.6444e+07,1.64449e+07,3.61831
4306,0.00543279,0.00446439,0.00640118,0.00576662,-5.55396,-7.70776,-3.40015,0.484236,3.61857,474.305,-1.64479e+07,1.64489e+07,3.61857
4307,0.00574656,0.00477817,0.00671496,0.00605503,-5.55397,-7.70827,-3.39966,0.484144,3.61745,485.04,-1.64519e+07,1.64528e+07,3.61745
4308,0.00604987,0.00508148,0.00701827,0.00634736,-5.55397,-7.70878,-3.39917,0.48417,3.61632,493.842,-1.64558e+07,1.64567e+07,3.61632
4309,0.00634324,0.00537484,0.00731164,0.00656362,-5.55398,-7.70928,-3.39867,0.484065,3.61747,501.094,-1.64596e+07,1.64606e+07,3.61747
4310,0.00662717,0.00565877,0.00759556,0.00690055,-5.55398,-7.70979,-3.39818,0.483902,3.6161,506.971,-1.64635e+07,1.64645e+07,3.6161
4311,0.00690143,0.00593303,0.00786983,0.00716457,-5.55399,-7.71029,-3.39768,0.483787,3.6151,511.824,-1.64674e+07,1.64684e+07,3.6151
4312,0.00716688,0.00619848,0.00813527,0.00741035,-5.55399,-7.71079,-3.39719,0.483743,3.61637,515.803,-1.64712e+07,1.64723e+07,3.61637
4313,0.00742363,0.00645523,0.00839202,0.00774668,-5.55399,-7.71129,-3.39669,0.483637,3.61615,519.1,-1.64751e+07,1.64761e+07,3.61615
